key,status,old_chars,new_chars,lang,model
vizgirda_socialgenpod_2024,enriched,23,893,en,x-ai/grok-4-fast
zhou_img2loc_2024,enriched,257,769,en,x-ai/grok-4-fast
frobe_large_2025,enriched,48,971,en,x-ai/grok-4-fast
zhu_finir_2025,enriched,36,959,en,x-ai/grok-4-fast
lajewska_ginger_2025,enriched,84,1200,en,x-ai/grok-4-fast
rogers_what_2024,enriched,167,1244,en,x-ai/grok-4-fast
thakur_assessing_2025,enriched,205,905,en,x-ai/grok-4-fast
belikova_data-efficient_2025,enriched,128,1290,en,x-ai/grok-4-fast
arabzadeh_ir-rag_2025,enriched,15,1250,en,x-ai/grok-4-fast
azimi_towards_2025,enriched,28,987,en,x-ai/grok-4-fast
avula_measuring_2025,enriched,13,736,en,x-ai/grok-4-fast
li_neutronrag_2025,enriched,123,794,en,x-ai/grok-4-fast
lee_rag-enhanced_2025,enriched,33,815,en,x-ai/grok-4-fast
jokinen_exploring_2024,enriched,319,996,en,x-ai/grok-4-fast
petroni_ir-rag_2024,enriched,15,773,en,x-ai/grok-4-fast
alrabie_towards_2025,enriched,144,754,en,x-ai/grok-4-fast
yang_explaingen_2025,enriched,53,1152,en,x-ai/grok-4-fast
chu_chatasd_2024,enriched,101,762,en,x-ai/grok-4-fast
bendel_animal_2024,enriched,154,1122,en,x-ai/grok-4-fast
sokol_ventana_2025,enriched,30,942,en,x-ai/grok-4-fast
lu_taxonomy_2024,enriched,41,630,en,x-ai/grok-4-fast
chen_behaviorally_2025,enriched,82,596,en,x-ai/grok-4-fast
liu_treatrag_2025,enriched,85,1124,en,x-ai/grok-4-fast
zachariah_multi-model_2025,enriched,80,971,en,x-ai/grok-4-fast
portaz_harmonizing_2024,enriched,73,874,en,x-ai/grok-4-fast
esposito_leveraging_2024,enriched,79,702,en,x-ai/grok-4-fast
lee_llm-driven_2024,enriched,184,607,en,x-ai/grok-4-fast
spitzer_looking_2024,enriched,27,811,en,x-ai/grok-4-fast
ye_boosting_2024,enriched,90,1038,en,x-ai/grok-4-fast
recio_abad_automatic_2025,enriched,205,1043,en,x-ai/grok-4-fast
krueger_towards_2025,enriched,118,1140,en,x-ai/grok-4-fast
chen_llm-powered_2025,enriched,105,775,en,x-ai/grok-4-fast
soman_observations_2024,enriched,197,1886,en,x-ai/grok-4-fast
zhu_multimodal_2024,enriched,85,779,en,x-ai/grok-4-fast
salminen_using_2024,enriched,188,967,en,x-ai/grok-4-fast
fung_automatic_2024,enriched,95,1104,en,x-ai/grok-4-fast
emerson_codedocs_2025,enriched,143,668,en,x-ai/grok-4-fast
carmel_liverag_2025,enriched,353,1153,en,x-ai/grok-4-fast
sun_d-bot_2025,enriched,140,930,en,x-ai/grok-4-fast
wang_andromeda_2025,enriched,94,1153,en,x-ai/grok-4-fast
zhang_sortinghat_2025,enriched,254,689,en,x-ai/grok-4-fast
kopkow_high_2025,enriched,351,1106,en,x-ai/grok-4-fast
khurana_table_2025,enriched,132,1080,en,x-ai/grok-4-fast
schmidt_detecting_2024,enriched,366,1072,en,x-ai/grok-4-fast
ardimento_enhancing_2024,enriched,282,1031,en,x-ai/grok-4-fast
li_enhancing_2024,enriched,80,1147,en,x-ai/grok-4-fast
saha_roy_evidence_2025,enriched,166,1304,en,x-ai/grok-4-fast
wu_clear_2025,enriched,75,1004,en,x-ai/grok-4-fast
felemban_exaggeration-based_2025,enriched,79,847,en,x-ai/grok-4-fast
buzzi_towards_2025,enriched,56,862,en,x-ai/grok-4-fast
biancini_multiple-choice_2024,enriched,100,1187,en,x-ai/grok-4-fast
varga_inquiry_2025,enriched,191,733,en,x-ai/grok-4-fast
zhu_bridging_2025,enriched,108,701,en,x-ai/grok-4-fast
lai_graphyour_2025,enriched,96,1021,en,x-ai/grok-4-fast
huly_old_2024,enriched,122,1158,en,x-ai/grok-4-fast
chan_dont_2025,enriched,160,881,en,x-ai/grok-4-fast
niu_part_2025,enriched,131,970,en,x-ai/grok-4-fast
wang_storyverse_2024,enriched,219,1002,en,x-ai/grok-4-fast
rome__2024,enriched,19,1221,en,x-ai/grok-4-fast
juan_co-trained_2025,enriched,36,2179,en,x-ai/grok-4-fast
he_low-cost_2025,enriched,235,961,en,x-ai/grok-4-fast
zhang_knowledge-based_2025,enriched,71,707,en,x-ai/grok-4-fast
bai_insight_2025,enriched,5,810,en,x-ai/grok-4-fast
sarmah_towards_2024,enriched,23,526,en,x-ai/grok-4-fast
sun_docs2kg_2025,enriched,59,1202,en,x-ai/grok-4-fast
ugarte_astral_2025,enriched,13,936,en,x-ai/grok-4-fast
ma_fine-tuning_2024,enriched,73,991,en,x-ai/grok-4-fast
shen_retrieval-augmented_2025,enriched,146,1206,en,x-ai/grok-4-fast
zhang_modelgalaxy_2024,enriched,105,1271,en,x-ai/grok-4-fast
ngom_mallet_2024,enriched,146,1189,en,x-ai/grok-4-fast
frey_pots_2025,enriched,44,872,en,x-ai/grok-4-fast
van_schaik_field_2024,enriched,91,1302,en,x-ai/grok-4-fast
buchmann_white-box_2024,enriched,148,1189,en,x-ai/grok-4-fast
venkatakrishnan_semantic_2024,enriched,88,632,en,x-ai/grok-4-fast
tian_template-based_2025,enriched,184,898,en,x-ai/grok-4-fast
wang_paperping_2025,enriched,89,1147,en,x-ai/grok-4-fast
zhao_ontology-guided_2025,enriched,46,993,en,x-ai/grok-4-fast
zhang_automating_2024,enriched,126,887,en,x-ai/grok-4-fast
zhou_dataset_2025,enriched,122,1368,en,x-ai/grok-4-fast
diaz-de-arcaya_towards_2024,enriched,185,899,en,x-ai/grok-4-fast
zhao_best_2025,enriched,109,1052,en,x-ai/grok-4-fast
galitsky_truth-o-meter_2024,enriched,109,964,en,x-ai/grok-4-fast
zinjad_resumeflow_2024,enriched,18,975,en,x-ai/grok-4-fast
bayer_towards_2025,enriched,75,1005,en,x-ai/grok-4-fast
yu_biasnavi_2025,enriched,40,904,en,x-ai/grok-4-fast
zhao_checkguard_2024,enriched,29,928,en,x-ai/grok-4-fast
lyu_towards_2024,enriched,51,1085,en,x-ai/grok-4-fast
urban_demonstrating_2024,enriched,15,1215,en,x-ai/grok-4-fast
nadel_enabling_2024,enriched,26,1099,en,x-ai/grok-4-fast
colombo_leveraging_2024,enriched,80,1153,en,x-ai/grok-4-fast
kuchenbuch_smart_2025,enriched,257,865,en,x-ai/grok-4-fast
kim_cyberally_2025,enriched,197,1108,en,x-ai/grok-4-fast
khatua_evaluating_2025,enriched,68,961,en,x-ai/grok-4-fast
dieing_traditional_2025,enriched,42,1174,en,x-ai/grok-4-fast
ranaut_text_2025,enriched,112,1359,en,x-ai/grok-4-fast
dewan_llm-driven_2025,enriched,40,1242,en,x-ai/grok-4-fast
capari_sciencedirect_2024,enriched,48,1340,en,x-ai/grok-4-fast
abrami_vr-parlexplorer_2025,enriched,281,642,en,x-ai/grok-4-fast
jiang_bridging_2024,enriched,175,1150,en,x-ai/grok-4-fast
parikh_echoguide_2024,enriched,119,736,en,x-ai/grok-4-fast
jia_agentir_2025,enriched,66,914,en,x-ai/grok-4-fast
cheng_sqlord_2025,enriched,125,1037,en,x-ai/grok-4-fast
fleshman_re-adaptir_2025,enriched,163,926,en,x-ai/grok-4-fast
arabzadeh_human-ai_2025,enriched,119,931,en,x-ai/grok-4-fast
di_sipio_use_2024,enriched,33,1056,en,x-ai/grok-4-fast
kemper_retrieval-augmented_2024,enriched,146,788,en,x-ai/grok-4-fast
wheeler_procedural_2025,enriched,93,1057,en,x-ai/grok-4-fast
zhang_ai_2024,enriched,115,1118,en,x-ai/grok-4-fast
zhang_agentfm_2025,enriched,91,1264,en,x-ai/grok-4-fast
hillebrand_improving_2023,enriched,86,1172,en,x-ai/grok-4-fast
kejriwal_commonsense_2025,enriched,251,1261,en,x-ai/grok-4-fast
luo_oneke_2025,enriched,18,1063,en,x-ai/grok-4-fast
garcia_mesa_scalable_2025,enriched,51,1237,en,x-ai/grok-4-fast
wang_wildlifelookup_2025,enriched,143,1060,en,x-ai/grok-4-fast
pathiyan_cherumanal_towards_2024,enriched,37,938,en,x-ai/grok-4-fast
zhang_edu-values_2025,enriched,13,734,en,x-ai/grok-4-fast
liu_multimodal_2025,enriched,61,1045,en,x-ai/grok-4-fast
ni_reliable_2024,enriched,8,940,en,x-ai/grok-4-fast
rashedul_hasan_muse_2025,enriched,160,575,en,x-ai/grok-4-fast
vedula_question_2024,enriched,68,694,en,x-ai/grok-4-fast
petruzzelli_recommending_2024,enriched,89,1057,en,x-ai/grok-4-fast
benedict_gen-ir_2024,enriched,280,977,en,x-ai/grok-4-fast
luo_evolutionagent_2025,enriched,98,1053,en,x-ai/grok-4-fast
kapuriya_exploring_2025,enriched,316,1045,en,x-ai/grok-4-fast
wang_mememo_2024,enriched,106,1205,en,x-ai/grok-4-fast
kamran_vision_2024,enriched,160,1205,en,x-ai/grok-4-fast
gawin_navigating_2025,enriched,146,777,en,x-ai/grok-4-fast
wang_international_2024,enriched,75,947,en,x-ai/grok-4-fast
alzahrani_accessible_2025,enriched,116,1031,en,x-ai/grok-4-fast
barzanji_expectations_2025,enriched,215,689,en,x-ai/grok-4-fast
gong_cosearchagent_2024,enriched,265,853,en,x-ai/grok-4-fast
piazza_which_2025,enriched,92,909,en,x-ai/grok-4-fast
gosmar_insight_2024,enriched,130,1074,en,x-ai/grok-4-fast
zhang_training_2025,enriched,106,1241,en,x-ai/grok-4-fast
xu_towards_2024,enriched,190,974,en,x-ai/grok-4-fast
zhang_intelligent_2025,enriched,162,785,en,x-ai/grok-4-fast
mulayim_large_2024,enriched,38,900,en,x-ai/grok-4-fast
borg_creating_2024,enriched,73,757,en,x-ai/grok-4-fast
parthasarathy_polymer_2025,enriched,63,695,en,x-ai/grok-4-fast
frobe_reneuir_2024,enriched,158,916,en,x-ai/grok-4-fast
shen_iotcoder_2024,enriched,163,991,en,x-ai/grok-4-fast
oliveira_improving_2024,enriched,147,887,en,x-ai/grok-4-fast
young_gaqr_2024,enriched,128,1150,en,x-ai/grok-4-fast
sun_integrated_2024,enriched,66,998,en,x-ai/grok-4-fast
chen_retrieving_2025,enriched,69,1454,en,x-ai/grok-4-fast
zhao_ai_2025,enriched,30,1287,en,x-ai/grok-4-fast
jia_vqlens_2025,enriched,81,1125,en,x-ai/grok-4-fast
wang_i-guide_2025,enriched,213,941,en,x-ai/grok-4-fast
xie_neighborhood-based_2024,enriched,85,1202,en,x-ai/grok-4-fast
khatua_policies_2025,enriched,15,883,en,x-ai/grok-4-fast
kim_conversational_2025,enriched,139,773,en,x-ai/grok-4-fast
sun_timelinekgqa_2025,enriched,118,681,en,x-ai/grok-4-fast
zhu_ospc_2024,enriched,82,1228,en,x-ai/grok-4-fast
shi_scalable_2025,enriched,271,687,en,x-ai/grok-4-fast
zhu_retrieval-augmented_2024,enriched,387,1037,en,x-ai/grok-4-fast
semenkin_context_2024,enriched,89,820,en,x-ai/grok-4-fast
tsukuda_eliciting_2025,enriched,13,728,en,x-ai/grok-4-fast
jiang_gats_2024,enriched,179,986,en,x-ai/grok-4-fast
carlson_dynamic_2025,enriched,392,1053,en,x-ai/grok-4-fast
zhong_doctopus_2025,enriched,203,979,en,x-ai/grok-4-fast
liu_robust-ir_2025,enriched,63,974,en,x-ai/grok-4-fast
su_parametric_2025,enriched,45,779,en,x-ai/grok-4-fast
afzal_towards_2025,enriched,116,1353,en,x-ai/grok-4-fast
wallat_correctness_2025,enriched,91,1172,en,x-ai/grok-4-fast
merker_axioms_2025,enriched,97,1030,en,x-ai/grok-4-fast
dong_understand_2025,enriched,149,1238,en,x-ai/grok-4-fast
jiang_rago_2025,enriched,140,1009,en,x-ai/grok-4-fast
song_urag_2025,enriched,120,1202,en,x-ai/grok-4-fast
wu_retrieval_2025,enriched,23,1214,en,x-ai/grok-4-fast
liu_dragon_2025,enriched,95,997,en,x-ai/grok-4-fast
wang_instructrag_2025,enriched,217,1164,en,x-ai/grok-4-fast
zhang_traceback_2025,enriched,9,1067,en,x-ai/grok-4-fast
wang_unveiling_2025,enriched,54,1475,en,x-ai/grok-4-fast
wu_time-sensitve_2024,enriched,109,704,en,x-ai/grok-4-fast
guerraoui_efficient_2025,enriched,72,1070,en,x-ai/grok-4-fast
cheng_ragtrace_2025,enriched,294,987,en,x-ai/grok-4-fast
jiang_piperag_2025,enriched,154,1005,en,x-ai/grok-4-fast
li_knowtrace_2025,enriched,318,923,en,x-ai/grok-4-fast
pinna_integration_2025,enriched,185,825,en,x-ai/grok-4-fast
jang_au-rag_2024,enriched,235,1223,en,x-ai/grok-4-fast
bergman_leveraging_2025,enriched,73,768,en,x-ai/grok-4-fast
mahapatra_-storage_2025,enriched,149,815,en,x-ai/grok-4-fast
simoni_morse_2025,enriched,111,1133,en,x-ai/grok-4-fast
tu_robust_2025,enriched,149,1007,en,x-ai/grok-4-fast
gokdemir_hiperrag_2025,enriched,190,915,en,x-ai/grok-4-fast
liu_mask-based_2025,enriched,194,1112,en,x-ai/grok-4-fast
xu_p-rag_2024,enriched,69,1231,en,x-ai/grok-4-fast
tang_boosting_2025,enriched,76,606,en,x-ai/grok-4-fast
li_oreo_2025,enriched,191,1100,en,x-ai/grok-4-fast
pogrebinsky_enhancing_2025,enriched,101,708,en,x-ai/grok-4-fast
rau_context_2025,enriched,151,712,en,x-ai/grok-4-fast
li_lexrag_2025,enriched,138,934,en,x-ai/grok-4-fast
fuchs_lissa_2025,enriched,169,783,en,x-ai/grok-4-fast
liu_heterrag_2025,enriched,39,898,en,x-ai/grok-4-fast
ruamsuk_enhancing_2025,enriched,214,1180,en,x-ai/grok-4-fast
zhang_exploring_2025,enriched,116,1015,en,x-ai/grok-4-fast
hu_prompt_2024,enriched,178,888,en,x-ai/grok-4-fast
packowski_optimizing_2025,enriched,124,1057,en,x-ai/grok-4-fast
tan_pear_2025,enriched,134,1045,en,x-ai/grok-4-fast
wu_lighter_2025,enriched,61,1067,en,x-ai/grok-4-fast
zhu_emerge_2024,enriched,8,1181,en,x-ai/grok-4-fast
liang_efficient_2025,enriched,135,938,en,x-ai/grok-4-fast
barnett_seven_2024,enriched,183,947,en,x-ai/grok-4-fast
difallah_wikirag_2025,enriched,80,924,en,x-ai/grok-4-fast
zhao_medrag_2025,enriched,184,1398,en,x-ai/grok-4-fast
soudani_fine_2024,enriched,65,862,en,x-ai/grok-4-fast
wang_quantitative_2025,enriched,85,1007,en,x-ai/grok-4-fast
dai_next-search_2025,enriched,144,1253,en,x-ai/grok-4-fast
nandy_balancing_2025,enriched,89,946,en,x-ai/grok-4-fast
dela_rosa_video-enriched_2025,enriched,12,742,en,x-ai/grok-4-fast
yu_droidcoder_2024,enriched,60,1068,en,x-ai/grok-4-fast
xu_face4rag_2024,enriched,190,735,en,x-ai/grok-4-fast
jiao_pr-attack_2025,enriched,1,942,en,x-ai/grok-4-fast
zhang_large-language_2025,enriched,99,1362,en,x-ai/grok-4-fast
shi_retrieval_2025,enriched,187,984,en,x-ai/grok-4-fast
shawon_retrieval_2025,enriched,185,1019,en,x-ai/grok-4-fast
yang_im-rag_2024,enriched,22,908,en,x-ai/grok-4-fast
garetto_information_2025,enriched,143,1091,en,x-ai/grok-4-fast
wang_evaluating_2025,enriched,60,689,en,x-ai/grok-4-fast
dong_decoupling_2025,enriched,172,1099,en,x-ai/grok-4-fast
zhang_domain-specific_2025,enriched,117,829,en,x-ai/grok-4-fast
wang_feb4rag_2024,enriched,50,1136,en,x-ai/grok-4-fast
cahoon_optimizing_2025,enriched,12,952,en,x-ai/grok-4-fast
pu_customized_2024,enriched,27,1324,en,x-ai/grok-4-fast
zhu_collaborative_2025,enriched,237,1148,en,x-ai/grok-4-fast
gao_optimized_2025,enriched,30,996,en,x-ai/grok-4-fast
tupayachi_conversational_2025,enriched,162,1096,en,x-ai/grok-4-fast
ehsan_explainable_2024,enriched,60,673,en,x-ai/grok-4-fast
yang_knowledge-enhanced_2025,enriched,99,834,en,x-ai/grok-4-fast
wynn-williams_can_2025,enriched,126,1008,en,x-ai/grok-4-fast
yao_cacheblend_2025,enriched,12,1011,en,x-ai/grok-4-fast
guo_efragembedding-finetuning_2024,enriched,134,776,en,x-ai/grok-4-fast
yamanishi_tourmllm_2025,enriched,71,1334,en,x-ai/grok-4-fast
cai_forag_2024,enriched,5,1137,en,x-ai/grok-4-fast
maity_leveraging_2025,enriched,83,911,en,x-ai/grok-4-fast
huang_foodpuzzle_2025,enriched,200,934,en,x-ai/grok-4-fast
lu_retrieval-augmented_2025,enriched,166,1066,en,x-ai/grok-4-fast
tan_paths-over-graph_2025,enriched,150,1374,en,x-ai/grok-4-fast
he_designminds_2025,enriched,60,685,en,x-ai/grok-4-fast
wei_large_2025,enriched,241,919,en,x-ai/grok-4-fast
yang_retrieval-augmented_2024,enriched,114,1103,en,x-ai/grok-4-fast
li_g-refer_2025,enriched,124,980,en,x-ai/grok-4-fast
yang_addrllm_2025,enriched,164,748,en,x-ai/grok-4-fast
sarmah_hybridrag_2024,enriched,116,1038,en,x-ai/grok-4-fast
chen_i-card_2025,enriched,238,941,en,x-ai/grok-4-fast
liu_aggregated_2025,enriched,97,816,en,x-ai/grok-4-fast
ordoumpozanis_generative_2025,enriched,72,934,en,x-ai/grok-4-fast
cao_ecc_2024,enriched,35,800,en,x-ai/grok-4-fast
hellas_experiences_2024,enriched,209,1259,en,x-ai/grok-4-fast
wang_colacare_2025,enriched,21,997,en,x-ai/grok-4-fast
qin_robust_2024,enriched,21,468,en,x-ai/grok-4-fast
saketos_large_2024,enriched,45,674,en,x-ai/grok-4-fast
yu_stateful_2025,enriched,173,1191,en,x-ai/grok-4-fast
xu_automating_2024,enriched,68,876,en,x-ai/grok-4-fast
kocyigit_deceptilens_2025,enriched,42,959,en,x-ai/grok-4-fast
hou_applied_2025,enriched,15,501,en,x-ai/grok-4-fast
michelon_large_2025,enriched,276,1250,en,x-ai/grok-4-fast
liu_can_2024,enriched,179,1055,en,x-ai/grok-4-fast
xu_list-aware_2024,enriched,116,833,en,x-ai/grok-4-fast
yu_ic-cache_2025,enriched,66,1042,en,x-ai/grok-4-fast
wen_usb-rec_2025,enriched,8,745,en,x-ai/grok-4-fast
ashaduzzaman_leveraging_2025,enriched,13,1105,en,x-ai/grok-4-fast
dou_design_2024,enriched,70,1051,en,x-ai/grok-4-fast
kim_pimba_2025,enriched,78,843,en,x-ai/grok-4-fast
shah_-ta-da_2025,enriched,11,1003,en,x-ai/grok-4-fast
sun_largepig_2025,enriched,85,1102,en,x-ai/grok-4-fast
baughman_large_2024,enriched,68,988,en,x-ai/grok-4-fast
jayawardena_improving_2024,enriched,130,557,en,x-ai/grok-4-fast
dolata_development_2024,enriched,102,1176,en,x-ai/grok-4-fast
luz_enhancing_2025,enriched,55,672,en,x-ai/grok-4-fast
amri_approach_2024,enriched,362,1107,en,x-ai/grok-4-fast
shin_planfitting_2025,enriched,89,1329,en,x-ai/grok-4-fast
tsai_rtlfixer_2024,enriched,24,177,en,x-ai/grok-4-fast
tsutsui_case_2024,enriched,8,782,en,x-ai/grok-4-fast
geyer_case_2025,enriched,96,811,en,x-ai/grok-4-fast
liu_innovative_2024,enriched,190,861,en,x-ai/grok-4-fast
toslali_agrabot_2024,enriched,38,1090,en,x-ai/grok-4-fast
du_prefillonly_2025,enriched,39,701,en,x-ai/grok-4-fast
naik_workshop_2024,enriched,98,585,en,x-ai/grok-4-fast
tao_housing_2025,enriched,60,581,en,x-ai/grok-4-fast
cheng_relic_2024,enriched,108,1197,en,x-ai/grok-4-fast
yun_generative_2025,enriched,243,856,en,x-ai/grok-4-fast
shin_what_2025,enriched,50,1050,en,x-ai/grok-4-fast
zhao_lookahead_2024,enriched,87,1002,en,x-ai/grok-4-fast
prather_beyond_2025,enriched,42,1011,en,x-ai/grok-4-fast
jin_chatting_2025,enriched,97,1162,en,x-ai/grok-4-fast
inie_how_2025,enriched,110,1062,en,x-ai/grok-4-fast
he_study_2024,enriched,109,830,en,x-ai/grok-4-fast
shen_large_2025,enriched,26,1195,en,x-ai/grok-4-fast
borghoff_generative_2025,enriched,117,801,en,x-ai/grok-4-fast
feng_complicated_2025,enriched,33,757,en,x-ai/grok-4-fast
yao_news_2024,enriched,79,968,en,x-ai/grok-4-fast
gao_humanizing_2024,enriched,159,1218,en,x-ai/grok-4-fast
sharma_openroad-assistant_2024,enriched,110,1173,en,x-ai/grok-4-fast
New York,enriched,0,1056,en,anthropic/claude-sonnet-4.5
das_swain_teacher_2024,enriched,222,854,en,x-ai/grok-4-fast
yen_search_2025,enriched,97,1138,en,x-ai/grok-4-fast
liu_cachegen_2024,enriched,53,946,en,x-ai/grok-4-fast
haroon_twips_2024,enriched,200,845,en,x-ai/grok-4-fast
yao_lawyer_2024,enriched,211,575,en,x-ai/grok-4-fast
leong_putting_2024,enriched,195,997,en,x-ai/grok-4-fast
lee_altcanvas_2024,enriched,102,1383,en,x-ai/grok-4-fast
drosos_its_2024,enriched,82,1856,en,x-ai/grok-4-fast
esposito_beyond_2024,enriched,178,956,en,x-ai/grok-4-fast
hu_cg-rag_2025,enriched,48,1019,en,x-ai/grok-4-fast
tan_htmlrag_2025,enriched,152,1039,en,x-ai/grok-4-fast
sequeda_benchmark_2024,enriched,128,1217,en,x-ai/grok-4-fast
ardimento_rag-based_2024,enriched,140,1087,en,x-ai/grok-4-fast
wu_research_2025,enriched,48,927,en,x-ai/grok-4-fast
sharma_enhancing_2025,enriched,178,1110,en,x-ai/grok-4-fast
meda_integrating_2025,enriched,94,1107,en,x-ai/grok-4-fast
gienapp_viability_2025,enriched,15,838,en,x-ai/grok-4-fast
akewar_can_2025,enriched,43,678,en,x-ai/grok-4-fast
yu_rag-guided_2024,enriched,12,1171,en,x-ai/grok-4-fast
brachman_building_2025,enriched,295,962,en,x-ai/grok-4-fast
chen_towards_2025,enriched,192,811,en,x-ai/grok-4-fast
qi_rag-optimized_2024,enriched,100,929,en,x-ai/grok-4-fast
feng_enabling_2024,enriched,173,1054,en,x-ai/grok-4-fast
lee_talkin_2024,enriched,95,877,en,x-ai/grok-4-fast
yamane_chimera-vdb_2025,enriched,15,792,en,x-ai/grok-4-fast
zhang_towards_2025,enriched,69,911,en,x-ai/grok-4-fast
vassos_now_2024,enriched,86,771,en,x-ai/grok-4-fast
su_judge_2025,enriched,69,565,en,x-ai/grok-4-fast
signe_substring_2025,enriched,104,664,en,x-ai/grok-4-fast
huang_ket-rag_2025,enriched,189,1304,en,x-ai/grok-4-fast
ngo_legal_2025,enriched,95,933,en,x-ai/grok-4-fast
arefeen_irag_2024,enriched,269,905,en,x-ai/grok-4-fast
yang_boosting_2025,enriched,13,1317,en,x-ai/grok-4-fast
tran_rag_2025,enriched,37,978,en,x-ai/grok-4-fast
chen_question_2025,enriched,10,1032,en,x-ai/grok-4-fast
xu_muarf_2025,enriched,48,976,en,x-ai/grok-4-fast
jiang_retrieve_2025,enriched,85,1015,en,x-ai/grok-4-fast
song_assessing_2025,enriched,180,891,en,x-ai/grok-4-fast
jia_structrag_2025,enriched,147,1009,en,x-ai/grok-4-fast
shen_pentestagent_2025,enriched,14,1046,en,x-ai/grok-4-fast
szabo_applied_2025,enriched,106,1186,en,x-ai/grok-4-fast
nian_w-rag_2025,enriched,6,1049,en,x-ai/grok-4-fast
huang_rd-p_2024,enriched,132,1223,en,x-ai/grok-4-fast
salemi_comparing_2025,enriched,48,1026,en,x-ai/grok-4-fast
bi_rbdq_2025,enriched,160,1057,en,x-ai/grok-4-fast
wang_topology-aware_2024,enriched,178,1355,en,x-ai/grok-4-fast
chen_generating_2025,enriched,195,1208,en,x-ai/grok-4-fast
yu_mramg-bench_2025,enriched,194,701,en,x-ai/grok-4-fast
li_emails_2025,enriched,185,1284,en,x-ai/grok-4-fast
zhou_metacognitive_2024,enriched,189,1019,en,x-ai/grok-4-fast
salemi_learning_2025,enriched,123,798,en,x-ai/grok-4-fast
peng_eloq_2025,enriched,176,1166,en,x-ai/grok-4-fast
lin_scirgen_2025,enriched,77,515,en,x-ai/grok-4-fast
zhang_way_2025,enriched,116,695,en,x-ai/grok-4-fast
chen_multi-agent_2025,enriched,186,795,en,x-ai/grok-4-fast
cuconasu_power_2024,enriched,84,516,en,x-ai/grok-4-fast
zhong_towards_2025,enriched,113,1164,en,x-ai/grok-4-fast
yang_knowing_2025,enriched,53,1003,en,x-ai/grok-4-fast
dakshit_faculty_2024,enriched,117,809,en,x-ai/grok-4-fast
doyle_if_2025,enriched,160,1678,en,x-ai/grok-4-fast
ram_gesturecoach_2025,enriched,34,1190,en,x-ai/grok-4-fast
