reason,doi,removed_key,kept_key,removed_title,kept_title,removed_year,kept_year
duplicate_by_doi,10.1145/3627673.3680094,gubanov_cancerkgorg_2024,gubanov_cancerkg_2024,{CancerKG,"Cancerkg. org-a web-scale, interactive, verifiable knowledge graph-llm hybrid for assisting with optimal cancer treatment and care",2024,2024
duplicate_by_doi,10.1145/3626772.3657778,li_corpuslm_2024,li_corpuslm_2024,{CorpusLM,{CorpusLM,2024,2024
duplicate_by_doi,10.1145/3627673.3679722,shi_retrieval-enhanced_2024,shi_retrieval-enhanced_2024,Retrieval-enhanced {Knowledge,Retrieval-enhanced {Knowledge,2024,2024
duplicate_by_doi,10.1145/3661167.3661218,abedu_llm-based_2024,abedu_llm-based_2024,{LLM,Llm-based chatbots for mining software repositories: {Challenges,2024,2024
duplicate_by_doi,10.1145/3701716.3715240,liang_kag_2025,liang_kag_2025,{KAG,{KAG,2025,2025
duplicate_by_doi,10.1145/3695080.3695156,wei_garag_2024,wei_garag_2024,{GARAG,{GARAG,2024,2024
duplicate_by_doi,10.1145/3704268.3742698,most_lost_2025,most_lost_2025,Lost in {OCR,Lost in {OCR,2025,2025
duplicate_by_doi,10.1145/3630106.3658967,moayeri_worldbench_2024,moayeri_worldbench_2024,{WorldBench,Worldbench: {Quantifying,2024,2024
duplicate_by_doi,10.1145/3640543.3645200,khurana_why_2024,khurana_why_2024,Why and {When,Why and when llm-based assistants can go wrong: {Investigating,2024,2024
duplicate_by_doi,10.1145/3696230.3696247,malaborbor_enhancing_2024,malaborbor_enhancing_2024,Enhancing {Data,Enhancing {Data,2024,2024
duplicate_by_doi,10.1145/3711896.3737374,chen_chineseecomqa_2025,chen_chineseecomqa_2025,{ChineseEcomQA,Chineseecomqa: {A,2025,2025
duplicate_by_doi,10.1109/icse55347.2025.00101,lee_can_2025,lee_can_2025,Can an {LLM,Can an {LLM,2025,2025
duplicate_by_doi,10.1145/3696630.3728560,yang_evaluating_2025,yang_evaluating_2025,Evaluating {Large,Evaluating {Large,2025,2025
duplicate_by_doi,10.1145/3706598.3713448,li_omniquery_2025,li_omniquery_2025,{OmniQuery,{OmniQuery,2025,2025
duplicate_by_doi,10.1145/3589334.3645363,xu_search---chain_2024,xu_search---chain_2024,Search-in-the-{Chain,Search-in-the-{Chain,2024,2024
duplicate_by_doi,10.1145/3670474.3685953,xu_automated_2024,xu_automated_2024,Automated {C,Automated c/c++ program repair for high-level synthesis via large language models,2024,2024
duplicate_by_doi,10.1145/3726302.3729898,zhang_ask_2025,zhang_ask_2025,Ask and {Retrieve,Ask and {Retrieve,2025,2025
duplicate_by_doi,10.1145/3626772.3657784,zhang_are_2024,zhang_are_2024,Are {Large,Are {Large,2024,2024
duplicate_by_doi,10.1145/3665601.3669848,einy_cost-effective_2024,einy_cost-effective_2024,Cost-{Effective,Cost-{Effective,2024,2024
duplicate_by_doi,10.1145/3677052.3698597,cho_fishnet_2024,cho_fishnet_2024,{FISHNET,{FISHNET,2024,2024
duplicate_by_doi,10.1109/bibm62325.2024.10821725,craig_whats_2024,craig_whats_2024,What's the data say? {An,What’s the data say? {An,2024,2024
duplicate_by_doi,10.1109/iwceaa63616.2024.10823979,xu_chat_2024,xu_chat_2024,A {Chat,A {Chat,2024,2024
duplicate_by_doi,10.1109/cost64302.2024.00038,hou_llm-based_2024,hou_llm-based_2024,{LLM,{LLM,2024,2024
duplicate_by_doi,10.1109/cscwd64889.2025.11033484,guan_external_2025,guan_external_2025,From {External,From {External,2025,2025
duplicate_by_doi,10.1109/access.2025.3535618,setyawan_soekamto_queries_2025,setyawan_soekamto_queries_2025,From {Queries,From {Queries,2025,2025
duplicate_by_doi,10.1371/journal.pdig.0000568,soong_improving_2024,soong_improving_2024,Improving accuracy of {GPT,Improving accuracy of {GPT,2024,2024
duplicate_by_title_to_kept,10.1145/3721201.3725426,garcia_df-rag_2025,garcia_df-rag_2025,{DF,{DF,2025,2025
duplicate_by_title_to_kept,10.1145/3691620.3695054,liu_graphcoder_2024,liu_graphcoder_2024,{GraphCoder,{GraphCoder,2024,2024
duplicate_by_title_to_kept,10.2196/66098,li_use_2025,li_use_2025,Use of {Retrieval,Use of {Retrieval,2025,2025
duplicate_by_title_to_kept,10.18653/v1/2024.emnlp-industry.113,song_rag-hat_2024,song_rag-hat_2024,{RAG,{RAG,2024,2024
duplicate_by_title_to_kept,10.3390/bdcc8090115,mansurova_qa-rag_2024,mansurova_qa-rag_2024,{QA,{QA,2024,2024
duplicate_by_title_to_kept,10.1109/ICSES63445.2024.10762977,amarnath_intelligent_2024,amarnath_intelligent_2024,An {Intelligent,An {Intelligent,2024,2024
duplicate_by_title_to_kept,10.1016/j.caeai.2025.100417,li_retrieval-augmented_2025,li_retrieval-augmented_2025,Retrieval-augmented generation for educational application: {A,Retrieval-augmented generation for educational application: {A,2025,2025
duplicate_by_title_to_kept,10.1097/HEP.0000000000000834,ge_development_2024,ge_development_2024,Development of a liver disease–specific large language model chat interface using retrieval-augmented generation,Development of a liver disease-specific large language model chat interface using retrieval-augmented generation,2024,2024
duplicate_by_title_to_kept,10.1038/s41746-025-01519-z,ke_retrieval_2025,ke_retrieval_2025,Retrieval augmented generation for 10 large language models and its generalizability in assessing medical fitness,Retrieval augmented generation for 10 large language models and its generalizability in assessing medical fitness,2025,2025
duplicate_by_title_to_kept,10.3390/ai6080188,kuo_automated_2025,kuo_automated_2025,Automated {Clinical,Automated {Clinical,2025,2025
duplicate_by_title_to_kept,10.5220/0012803100003767,kuppa_manipulating_2024,kuppa_manipulating_2024,Manipulating {Prompts,Manipulating {Prompts,2024,2024
duplicate_by_title_to_kept,10.1109/FLLM63129.2024.10852474,nezafat_fake_2024,nezafat_fake_2024,Fake {News,Fake {News,2024,2024
duplicate_by_title_to_kept,10.3390/inventions10040055,welsh_custom-tailored_2025,welsh_custom-tailored_2025,Custom-{Tailored,Custom-{Tailored,2025,2025
duplicate_by_title_to_kept,10.3390/app15084234,swacha_retrieval-augmented_2025,swacha_retrieval-augmented_2025,Retrieval-{Augmented,Retrieval-{Augmented,2025,2025
duplicate_by_title_to_kept,10.1109/UBMK63289.2024.10773428,ko_rerag_2024,ko_rerag_2024,{ReRag,{ReRag,2024,2024
duplicate_by_title_to_kept,10.2196/67201,zhang_knowledge-enhanced_2025,zhang_knowledge-enhanced_2025,A {Knowledge,A {Knowledge,2025,2025
duplicate_by_title_to_kept,10.3390/info16090786,mokashi_analysis_2025,mokashi_analysis_2025,Analysis of {Large,Analysis of {Large,2025,2025
duplicate_by_title_to_kept,10.18653/v1/2024.findings-emnlp.730,thakur_knowing_2024,thakur_knowing_2024,“{Knowing,“{Knowing,2024,2024
duplicate_by_title_to_kept,10.1038/s41746-024-01091-y,kresevic_optimization_2024,kresevic_optimization_2024,Optimization of hepatological clinical guidelines interpretation by large language models: a retrieval augmented generation-based framework,Optimization of hepatological clinical guidelines interpretation by large language models: a retrieval augmented generation-based framework,2024,2024
duplicate_by_title_to_kept,10.1109/ACCESS.2025.3588337,praneeth_optimization_2025,praneeth_optimization_2025,Optimization of {Customer,Optimization of {Customer,2025,2025
duplicate_by_title_to_kept,10.1109/eScience65000.2025.00087,azher_futuregen_2025,azher_futuregen_2025,{FutureGen,{FutureGen,2025,2025
duplicate_by_title_to_kept,10.18653/v1/2024.emnlp-industry.97,sankararaman_provenance_2024,sankararaman_provenance_2024,Provenance: {A,Provenance: {A,2024,2024
duplicate_by_title_to_kept,10.1109/ICOSST64562.2024.10871140,rani_enhance_2024,rani_enhance_2024,To {Enhance,To {Enhance,2024,2024
duplicate_by_title_to_kept,10.1109/ICIC64337.2024.10957676,danuarta_retrieval-augmented_2024,danuarta_retrieval-augmented_2024,Retrieval-{Augmented,Retrieval-{Augmented,2024,2024
duplicate_by_title_to_kept,10.1038/s41746-025-01802-z,wada_retrieval-augmented_2025,wada_retrieval-augmented_2025,Retrieval-augmented generation elevates local {LLM,Retrieval-augmented generation elevates local {LLM,2025,2025
duplicate_by_title_to_kept,10.3390/electronics14020386,meng_using_2025,meng_using_2025,Using the {Retrieval,Using the {Retrieval,2025,2025
duplicate_by_title_to_kept,10.1109/BigData62323.2024.10825910,roychowdhury_eratta_2024,roychowdhury_eratta_2024,{ERATTA,{ERATTA,2024,2024
duplicate_by_title_to_kept,10.1016/j.bjps.2025.03.053,ozmen_evidence-based_2025,ozmen_evidence-based_2025,Evidence-based artificial intelligence: {Implementing,Evidence-based artificial intelligence: {Implementing,2025,2025
duplicate_by_title_to_kept,10.69554/nxxb8234,bhattacharya_strategies_2024,bhattacharya_strategies_2024,Strategies to mitigate hallucinations in large language models,Strategies to mitigate hallucinations in large language models,2024,2024
duplicate_by_title_to_kept,10.21037/aoj-24-49,eskenazi_evaluating_2025,eskenazi_evaluating_2025,Evaluating retrieval augmented generation and {ChatGPT,Evaluating retrieval augmented generation and {ChatGPT,2025,2025
duplicate_by_title_to_kept,10.18653/v1/2024.findings-emnlp.794,yu_llms_2024,yu_llms_2024,{LLMs,{LLMs,2024,2024
duplicate_by_title_to_kept,10.1145/3701716.3715244,wang_llm-based_2025,wang_llm-powered_2025,{LLM,{LLM,2025,2025
duplicate_by_title_to_kept,10.1016/j.asoc.2025.113684,sun_humanmod_2025,sun_humanmod_2025,{HumanMoD,{HumanMoD,2025,2025
duplicate_by_title_to_kept,10.31127/tuje.1624773,alan_improving_2025,alan_improving_2025,Improving {LLM,Improving {LLM,2025,2025
duplicate_by_title_to_kept,10.1016/j.jbi.2024.104662,alkhalaf_applying_2024,alkhalaf_applying_2024,Applying generative {AI,Applying generative {AI,2024,2024
duplicate_by_title_to_kept,10.14429/djlit.45.2.20206,mukhopadhyay_designing_2025,mukhopadhyay_designing_2025,Designing {Conversational,Designing {Conversational,2025,2025
duplicate_by_title_to_kept,10.1038/s41598-024-81052-3,xu_evaluation_2024,xu_evaluation_2024,Evaluation of the integration of retrieval-augmented generation in large language model for breast cancer nursing care responses,Evaluation of the integration of retrieval-augmented generation in large language model for breast cancer nursing care responses,2024,2024
duplicate_by_title_to_kept,10.1016/j.ssaho.2025.101751,nemeth_exploring_2025,nemeth_exploring_2025,Exploring the use of retrieval-augmented generation models in higher education: {A,Exploring the use of retrieval-augmented generation models in higher education: {A,2025,2025
duplicate_by_title_to_kept,10.1109/SysCon64521.2025.11014810,aboulela_exploring_2025,aboulela_exploring_2025,Exploring {RAG,Exploring {RAG,2025,2025
duplicate_by_title_to_kept,10.3390/app14209318,iaroshev_evaluating_2024,iaroshev_evaluating_2024,Evaluating {Retrieval,Evaluating {Retrieval,2024,2024
duplicate_by_title_to_kept,10.3390/ebj6020028,genovese_data_2025,genovese_data_2025,From {Data,From {Data,2025,2025
duplicate_by_title_to_kept,10.2196/60063,chen_eyegpt_2024,chen_eyegpt_2024,{EyeGPT,{EyeGPT,2024,2024
duplicate_by_title_to_kept,10.1109/ICSTW64639.2025.10962487,ahmed_quality_2025,ahmed_quality_2025,Quality {Assurance,Quality {Assurance,2025,2025
duplicate_by_title_to_kept,10.2514/6.2025-1916,ecker_trust-informed_2025,ecker_trust-informed_2025,Trust-{Informed,Trust-{Informed,2025,2025
duplicate_by_title_to_kept,10.3390/app14177995,byun_design_2024,byun_design_2024,Design and {Implementation,Design and {Implementation,2024,2024
duplicate_by_title_to_kept,10.1016/j.eswa.2025.127330,ren_large_2025,ren_large_2025,Large language model for interpreting research policy using adaptive two-stage retrieval augmented fine-tuning method,Large language model for interpreting research policy using adaptive two-stage retrieval augmented fine-tuning method,2025,2025
duplicate_by_title_to_kept,10.1109/COMNETSAT63286.2024.10862926,putri_simplification_2024,putri_simplification_2024,Simplification of {Embedding,Simplification of {Embedding,2024,2024
duplicate_by_title_to_kept,10.1016/j.ijmedinf.2025.106006,xu_development_2025,xu_development_2025,Development and evaluation of a retrieval-augmented large language model framework for enhancing endodontic education,Development and evaluation of a retrieval-augmented large language model framework for enhancing endodontic education,2025,2025
duplicate_by_title_to_kept,10.1109/ACSACW65225.2024.00036,fayyazi_advancing_2024,fayyazi_advancing_2024,Advancing {TTP,Advancing {TTP,2024,2024
duplicate_by_title_to_kept,10.1016/j.jos.2025.03.003,maruyama_retrieval-augmented_2025,maruyama_retrieval-augmented_2025,Retrieval-augmented generation enhances large language model performance on the {Japanese,Retrieval-augmented generation enhances large language model performance on the {Japanese,2025,2025
duplicate_by_title_to_kept,10.1016/j.jvsvi.2024.100137,feridooni_development_2024,feridooni_development_2024,Development of a vascular surgery-specific artificial intelligence chat interface using retrieval-augmented generation: {VASC,Development of a vascular surgery-specific artificial intelligence chat interface using retrieval-augmented generation: {VASC,2024,2024
duplicate_by_title_to_kept,10.1016/j.jobe.2025.112189,wang_improving_2025,wang_improving_2025,Improving knowledge management in building engineering with hybrid retrieval-augmented generation framework,Improving knowledge management in building engineering with hybrid retrieval-augmented generation framework,2025,2025
duplicate_by_title_to_kept,10.3390/jcm14072450,shin_thyro-genai_2025,shin_thyro-genai_2025,Thyro-{GenAI,Thyro-{GenAI,2025,2025
duplicate_by_title_to_kept,10.1093/jamia/ocae129,li_refai_2024,li_refai_2024,{RefAI,{RefAI,2024,2024
duplicate_by_title_to_kept,10.1109/FIE61694.2024.10893146,gopi_enhancing_2024,gopi_enhancing_2024,Enhancing {Engineering,Enhancing {Engineering,2024,2024
duplicate_by_title_to_kept,10.3390/app142411529,chen_enhanced_2024,chen_enhanced_2024,An {Enhanced,An {Enhanced,2024,2024
duplicate_by_title_to_kept,10.2118/222032-MS,palaniappan_enhancing_2024,palaniappan_enhancing_2024,Enhancing {Enterprise,Enhancing {Enterprise,2024,2024
duplicate_by_title_to_kept,10.1016/j.isci.2025.112492,hamed_knowledge_2025,hamed_knowledge_2025,From knowledge generation to knowledge verification: examining the biomedical generative capabilities of {ChatGPT,From knowledge generation to knowledge verification: examining the biomedical generative capabilities of {ChatGPT,2025,2025
