id	title	year	venue	language	RQs	relevance	score	decision	reason
wang_comprehensive_2025	A {Comprehensive} {Survey} of {Small} {Language} {Models} in the {Era} of {Large} {Language} {Models}: {Techniques}, {Enhancements}, {Applications}, {Collaboration} with {LLMs}, and {Trustworthiness}	2025	ACM Trans. Intell. Syst. Technol.		RQ1,RQ3,RQ4	Media	1.5	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
joel_survey_2025	A {Survey} on {LLM}-based {Code} {Generation} for {Low}-{Resource} and {Domain}-{Specific} {Programming} {Languages}	2025	ACM Trans. Softw. Eng. Methodol.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
zhang_survey_2025-2	A {Survey} of {AIOps} in the {Era} of {Large} {Language} {Models}	2025	ACM Comput. Surv.		RQ1,RQ3,RQ4	Media	1.5	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
bui_systematic_2024	A {Systematic} {Comparison} of {Large} {Language} {Models} {Performance} for {Intrusion} {Detection}	2024	Proc. ACM Netw.		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
pan_survey_2025	A {Survey} of {Research} in {Large} {Language} {Models} for {Electronic} {Design} {Automation}	2025	ACM Trans. Des. Autom. Electron. Syst.		RQ3,RQ4	Baja	1.0	Include	XAI/calibración y Métricas/metodologías
shi_survey_2025	A {Survey} on {Employing} {Large} {Language} {Models} for {Text}-to-{SQL} {Tasks}	2025	ACM Comput. Surv.		RQ4	Baja	0.5	Include	Métricas/metodologías
qin_ai-based_2025	{AI}-{Based} {Speaking} {Assistant}: {Supporting} {Non}-{Native} {Speakers}' {Speaking} in {Real}-{Time} {Multilingual} {Communication}	2025	Proc. ACM Hum.-Comput. Interact.			Excluir	0.0	Exclude	No trata RAG ni RQs
naveed_comprehensive_2025	A {Comprehensive} {Overview} of {Large} {Language} {Models}	2025	ACM Trans. Intell. Syst. Technol.		RQ3,RQ4	Baja	1.0	Include	XAI/calibración y Métricas/metodologías
israelsen_good_2025	“{A} {Good} {Bot} {Always} {Knows} {Its} {Limitations}”: {Assessing} {Autonomous} {System} {Decision}-{Making} {Competencies} through {Factorized} {Machine} {Self}-{Confidence}	2025	J. Hum.-Robot Interact.			Excluir	0.0	Exclude	No trata RAG ni RQs
jiang_survey_2025	A {Survey} on {Large} {Language} {Models} for {Code} {Generation}	2025	ACM Trans. Softw. Eng. Methodol.		RQ3,RQ4	Baja	1.0	Include	XAI/calibración y Métricas/metodologías
chau_is_2025	An {IS} {Research} {Agenda} on {Large} {Language} {Models}: {Development}, {Applications}, and {Impacts} on {Business} and {Management}	2025	ACM Trans. Manage. Inf. Syst.			Excluir	0.0	Exclude	No trata RAG ni RQs
zhang_systematic_2025	A {Systematic} {Survey} of {Text} {Summarization}: {From} {Statistical} {Methods} to {Large} {Language} {Models}	2025	ACM Comput. Surv.		RQ3,RQ4	Baja	1.0	Include	XAI/calibración y Métricas/metodologías
fu_ai_2025	{AI} for {DevSecOps}: {A} {Landscape} and {Future} {Opportunities}	2025	ACM Trans. Softw. Eng. Methodol.		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
yu_survey_2022	A {Survey} of {Knowledge}-enhanced {Text} {Generation}	2022	ACM Comput. Surv.			Excluir	0.0	Exclude	No trata RAG ni RQs
barbosa_cost-effective_2025	A {Cost}-{Effective} {LLM}-based {Approach} to {Identify} {Wildlife} {Trafficking} in {Online} {Marketplaces}	2025	Proc. ACM Manag. Data		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
li_structure-aware_2025	A {Structure}-aware {Approach} {Leveraging} {Semantic} {Relevance} {Graph} for {Annotation} {Alignment} of {Chinese} {Classics}	2025	ACM Trans. Asian Low-Resour. Lang. Inf. Process.			Excluir	0.0	Exclude	No trata RAG ni RQs
prakash_all_2024	All in {One} {Place}: {Ensuring} {Usable} {Access} to {Online} {Shopping} {Items} for {Blind} {Users}	2024	Proc. ACM Hum.-Comput. Interact.			Excluir	0.0	Exclude	No trata RAG ni RQs
ibrahimzada_alphatrans_2025	{AlphaTrans}: {A} {Neuro}-{Symbolic} {Compositional} {Approach} for {Repository}-{Level} {Code} {Translation} and {Validation}	2025	Proc. ACM Softw. Eng.		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
srba_survey_2025	A {Survey} on {Automatic} {Credibility} {Assessment} {Using} {Textual} {Credibility} {Signals} in the {Era} of {Large} {Language} {Models}	2025	ACM Trans. Intell. Syst. Technol.		RQ1,RQ2,RQ4	Alta	3.0	Include	Confianza/percepción y Factualidad/alucinaciones y Métricas/metodologías
koh_empirical_2022	An {Empirical} {Survey} on {Long} {Document} {Summarization}: {Datasets}, {Models}, and {Metrics}	2022	ACM Comput. Surv.		RQ3,RQ4	Baja	1.0	Include	XAI/calibración y Métricas/metodologías
schoeffer_ai_2025	{AI} {Reliance} and {Decision} {Quality}: {Fundamentals}, {Interdependence}, and the {Effects} of {Interventions}	2025	J. Artif. Int. Res.			Excluir	0.0	Exclude	No trata RAG ni RQs
ye_gradual_2023	A {Gradual} {Probabilistic} {Lambda} {Calculus}	2023	Proc. ACM Program. Lang.			Excluir	0.0	Exclude	No trata RAG ni RQs
metzger_user_2024	A {User} {Study} on {Explainable} {Online} {Reinforcement} {Learning} for {Adaptive} {Systems}	2024	ACM Trans. Auton. Adapt. Syst.		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
baumer_algorithmic_2024	Algorithmic {Subjectivities}	2024	ACM Trans. Comput.-Hum. Interact.			Excluir	0.0	Exclude	No trata RAG ni RQs
cai_after_2021	After {Violation} {But} {Before} {Sanction}: {Understanding} {Volunteer} {Moderators}' {Profiling} {Processes} {Toward} {Violators} in {Live} {Streaming} {Communities}	2021	Proc. ACM Hum.-Comput. Interact.			Excluir	0.0	Exclude	No trata RAG ni RQs
meylan_study_2020	A {Study} on the {Use} of {Checksums} for {Integrity} {Verification} of {Web} {Downloads}	2020	ACM Trans. Priv. Secur.		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
hamed_comparison_2025	A {Comparison} of {Open} {Data} {Observatories}	2025	J. Data and Information Quality			Excluir	0.0	Exclude	No trata RAG ni RQs
irrera_novel_2023	A {Novel} {Curated} {Scholarly} {Graph} {Connecting} {Textual} and {Data} {Publications}	2023	J. Data and Information Quality			Excluir	0.0	Exclude	No trata RAG ni RQs
xu_generative_2024	Generative {AI} and {Retrieval}-{Augmented} {Generation} ({RAG}) {Systems} for {Enterprise}	2024	Proceedings of the 33rd {ACM} {International} {Conference} on {Information} and {Knowledge} {Management}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
feng_response_2025	Response {Quality} {Assessment} for {Retrieval}-{Augmented} {Generation} via {Conditional} {Conformal} {Factuality}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
prahlad_personalizing_2025	Personalizing {Large} {Language} {Models} using {Retrieval} {Augmented} {Generation} and {Knowledge} {Graph}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
salemi_evaluating_2024	Evaluating {Retrieval} {Quality} in {Retrieval}-{Augmented} {Generation}	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
jin_flashrag_2025	{FlashRAG}: {A} {Modular} {Toolkit} for {Efficient} {Retrieval}-{Augmented} {Generation} {Research}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ4	Baja	1.0	Include	Métricas/metodologías
xu_rallrec_2025	{RALLRec}: {Improving} {Retrieval} {Augmented} {Large} {Language} {Model} {Recommendation} with {Representation} {Learning}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ4	Baja	1.0	Include	Métricas/metodologías
wang_r3ag_2024	{R3AG}: {First} {Workshop} on {Refined} and {Reliable} {Retrieval} {Augmented} {Generation}	2024	Proceedings of the 2024 {Annual} {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval} in the {Asia} {Pacific} {Region}			Excluir	0.0	Exclude	No trata RAG ni RQs
sudhi_rag-ex_2024	{RAG}-{Ex}: {A} {Generic} {Framework} for {Explaining} {Retrieval} {Augmented} {Generation}	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ1,RQ3	Media	2.0	Include	Confianza/percepción y XAI/calibración
lin_raccoon_2025	{RACCOON}: {A} {Retrieval}-{Augmented} {Generation} {Approach} for {Location} {Coordinate} {Capture} from {News} {Articles}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ4	Baja	1.0	Include	Métricas/metodologías
xu_retrieval-augmented_2024	Retrieval-{Augmented} {Generation} with {Knowledge} {Graphs} for {Customer} {Service} {Question} {Answering}	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
kaiser_preference-based_2025	Preference-based {Learning} with {Retrieval} {Augmented} {Generation} for {Conversational} {Question} {Answering}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
xu_rlg-rag_2025	{RLG}-{RAG}: {Guiding} the {Knowledge} {Retrieval} and {Evaluation} in {Retrieval}-{Augmented} {Generation} {Framework} by {Reasoning} {Logic}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
yang_cascadercg_2025	{CascadeRCG}: {Retrieval}-{Augmented} {Generation} for {Enhancing} {Professionalism} and {Knowledgeability} in {Online} {Mental} {Health} {Support}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
zhou_navigating_2025	Navigating {Generative} {AI} {Disclosure}, {Ownership}, and {Accountability} in {Co}-{Creative} {Domains}	2025	Adjunct {Proceedings} of the 4th {Annual} {Symposium} on {Human}-{Computer} {Interaction} for {Work}			Excluir	0.0	Exclude	No trata RAG ni RQs
siro_llm4eval_2025	{LLM4Eval}: {Large} {Language} {Model} for {Evaluation} in {IR}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
huang_paracoder_2025	{ParaCoder}: {Parallel} {Code} {Generation} with {Large} {Language} {Model}	2025	Proceedings of the 1st {FastCode} {Programming} {Challenge}		RQ4	Baja	1.0	Include	Métricas/metodologías
rahmani_llm4eval_2024	{LLM4Eval}: {Large} {Language} {Model} for {Evaluation} in {IR}	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
vizgirda_socialgenpod_2024	{SocialGenPod}: {Privacy}-{Friendly} {Generative} {AI} {Social} {Web} {Applications} with {Decentralised} {Personal} {Data} {Stores}	2024	Companion {Proceedings} of the {ACM} {Web} {Conference} 2024		RQ2,RQ3	Media	2.0	Include	Factualidad/alucinaciones y XAI/calibración
zhou_img2loc_2024	{Img2Loc}: {Revisiting} {Image} {Geolocalization} using {Multi}-modality {Foundation} {Models} and {Image}-based {Retrieval}-{Augmented} {Generation}	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
frobe_large_2025	Large {Language} {Model} {Relevance} {Assessors} {Agree} {With} {One} {Another} {More} {Than} {With} {Human} {Assessors}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ4	Baja	1.0	Include	Métricas/metodologías
zhu_finir_2025	{FinIR}: {The} 2nd {Workshop} on {Financial} {Information} {Retrieval} in the {Era} of {Generative} {AI}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ1,RQ3,RQ4	Alta	3.0	Include	Confianza/percepción y XAI/calibración y Métricas/metodologías
lajewska_ginger_2025	{GINGER}: {Grounded} {Information} {Nugget}-{Based} {Generation} of {Responses}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
rogers_what_2024	What {Should} a {Robot} {Do}? {Comparing} {Human} and {Large} {Language} {Model} {Recommendations} for {Robot} {Deception}	2024	Companion of the 2024 {ACM}/{IEEE} {International} {Conference} on {Human}-{Robot} {Interaction}		RQ2,RQ3,RQ4	Media	1.5	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
thakur_assessing_2025	Assessing {Support} for the {TREC} 2024 {RAG} {Track}: {A} {Large}-{Scale} {Comparative} {Study} of {LLM} and {Human} {Evaluations}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
belikova_data-efficient_2025	Data-efficient {Meta}-models for {Evaluation} of {Context}-based {Questions} and {Answers} in {LLMs}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
arabzadeh_ir-rag_2025	{IR}-{RAG} @{SIGIR25}: {The} {Second} {Edition} of the {Workshop} on {Information} {Retrieval}'s {Role} in {RAG} {Systems}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ3	Media	2.0	Include	Factualidad/alucinaciones y XAI/calibración
azimi_towards_2025	Towards an {Energy}-{Efficient} {Video} {Processing} {Tool} with {LLMs}	2025	Proceedings of the 4th {Mile}-{High} {Video} {Conference}			Excluir	0.0	Exclude	No trata RAG ni RQs
avula_measuring_2025	Measuring the {Fairness} {Gap} {Between} {Retrieval} and {Generation} in {RAG} {Systems} using a {Cognitive} {Complexity} {Framework}	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ4	Baja	1.0	Include	Métricas/metodologías
li_neutronrag_2025	{NeutronRAG}: {Towards} {Understanding} the {Effectiveness} of {RAG} from a {Data} {Retrieval} {Perspective}	2025	Companion of the 2025 {International} {Conference} on {Management} of {Data}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
lee_rag-enhanced_2025	{RAG}-{Enhanced} {Evidence} {Recommendation} in {Financial} {Legal} {Resolutions}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
jokinen_exploring_2024	Exploring a {Japanese} {Cooking} {Database}	2024	Companion of the 2024 {ACM}/{IEEE} {International} {Conference} on {Human}-{Robot} {Interaction}			Excluir	0.0	Exclude	No trata RAG ni RQs
petroni_ir-rag_2024	{IR}-{RAG} @ {SIGIR24}: {Information} {Retrieval}'s {Role} in {RAG} {Systems}	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ3	Baja	1.0	Include	XAI/calibración
alrabie_towards_2025	Towards {Human}-{Centered} {RAG}: {A} {Study} of {AI}-{Supported} {Testing} {Practices} in {Italian} {Public} {Administration}	2025	Proceedings of the 16th {Biannual} {Conference} of the {Italian} {SIGCHI} {Chapter}		RQ1,RQ2,RQ3	Alta	3.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración
yang_explaingen_2025	{ExplainGen}: a {Human}-{Centered} {LLM} {Assistant} for {Combating} {Misinformation}	2025	Proceedings of the 3rd {International} {Workshop} on {Human}-{Centered} {Sensing}, {Modeling}, and {Intelligent} {Systems}		RQ1,RQ2,RQ3,RQ4	Alta	4.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
chu_chatasd_2024	{ChatASD}: {A} {Dialogue} {Framework} for {LLMs} {Enhanced} by {Autism} {Knowledge} {Graph} {Retrieval}	2024	Proceedings of the 15th {ACM} {International} {Conference} on {Bioinformatics}, {Computational} {Biology} and {Health} {Informatics}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
bendel_animal_2024	The {Animal} {Whisperer} {Project}	2024	Proceedings of the {International} {Conference} on {Animal}-{Computer} {Interaction}			Excluir	0.0	Exclude	No trata RAG ni RQs
sokol_ventana_2025	Ventana a la {Verdad} ({Window} to the {Truth}): {A} {Chatbot} {Application} for {Navigating} {The} {Colombian} {Truth} {Commission}'s {Archives}	2025	Proceedings of the {Eighteenth} {ACM} {International} {Conference} on {Web} {Search} and {Data} {Mining}		RQ2,RQ3	Media	2.0	Include	Factualidad/alucinaciones y XAI/calibración
lu_taxonomy_2024	A {Taxonomy} of {Foundation} {Model} based {Systems} through the {Lens} of {Software} {Architecture}	2024	Proceedings of the {IEEE}/{ACM} 3rd {International} {Conference} on {AI} {Engineering} - {Software} {Engineering} for {AI}			Excluir	0.0	Exclude	No trata RAG ni RQs
chen_behaviorally_2025	Behaviorally {Aligned} {Retrieval}-{Augmented} {Chatbot} for {Industrial} {Design} {Thesis} {Support}	2025	Proceedings of the {Mensch} {Und} {Computer} 2025			Excluir	0.0	Exclude	No trata RAG ni RQs
liu_treatrag_2025	{TreatRAG}: {A} {Framework} for {Personalized} {Treatment} {Recommendation}	2025	Proceedings of the {Nineteenth} {ACM} {Conference} on {Recommender} {Systems}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
zachariah_multi-model_2025	Multi-{Model} {Workflows} for {Advanced} {Visual} {Understanding}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ1,RQ3	Media	2.0	Include	Confianza/percepción y XAI/calibración
portaz_harmonizing_2024	Harmonizing {Ethical} {Principles}: {Feedback} {Generation} {Approaches} in {Modeling} {Human} {Factors} for {Assisted} {Psychomotor} {Systems}	2024	Adjunct {Proceedings} of the 32nd {ACM} {Conference} on {User} {Modeling}, {Adaptation} and {Personalization}		RQ1,RQ2,RQ3	Alta	3.0	Include	Confianza/percepción y Factualidad/alucinaciones y XAI/calibración
esposito_leveraging_2024	Leveraging {Large} {Language} {Models} for {Preliminary} {Security} {Risk} {Analysis}: {A} {Mission}-{Critical} {Case} {Study}	2024	Proceedings of the 28th {International} {Conference} on {Evaluation} and {Assessment} in {Software} {Engineering}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
lee_llm-driven_2024	An {LLM}-driven {Framework} for {Dynamic} {Infrastructure} as {Code} {Generation}	2024	Proceedings of the 25th {International} {Middleware} {Conference}: {Demos}, {Posters} and {Doctoral} {Symposium}		RQ2,RQ3	Media	2.0	Include	Factualidad/alucinaciones y XAI/calibración
spitzer_looking_2024	Looking {Through} the {Deep} {Glasses}: {How} {Large} {Language} {Models} {Enhance} {Explainability} of {Deep} {Learning} {Models}	2024	Proceedings of {Mensch} {Und} {Computer} 2024		RQ3,RQ4	Baja	1.0	Include	XAI/calibración y Métricas/metodologías
ye_boosting_2024	Boosting {Conversational} {Question} {Answering} with {Fine}-{Grained} {Retrieval}-{Augmentation} and {Self}-{Check}	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
recio_abad_automatic_2025	Automatic {Proof} {Generation}: {Fine}-tuning and {RAG} in {Reasoner} vs. {Math} {LLMs}	2025	Proceedings of the 33rd {ACM} {International} {Conference} on the {Foundations} of {Software} {Engineering}		RQ2	Baja	1.0	Include	Factualidad/alucinaciones
krueger_towards_2025	Towards a {LLM}-{Based} {System} for {Generating} and {Validating} {Product} {Requirements}	2025	Proceedings of the 33rd {ACM} {International} {Conference} on the {Foundations} of {Software} {Engineering}			Excluir	0.0	Exclude	No trata RAG ni RQs
chen_llm-powered_2025	{LLM}-powered {Heterogeneous} {Information} {Network} {Analytics}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ4	Baja	0.5	Include	Métricas/metodologías
soman_observations_2024	Observations on {LLMs} for {Telecom} {Domain}: {Capabilities} and {Limitations}	2024	Proceedings of the {Third} {International} {Conference} on {AI}-{ML} {Systems}		RQ2,RQ3,RQ4	Media	1.5	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
zhu_multimodal_2024	Multimodal {Representation} and {Retrieval} [{MRR} 2024]	2024	Proceedings of the 47th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}			Excluir	0.0	Exclude	No trata RAG ni RQs
salminen_using_2024	Using {Cipherbot}: {An} {Exploratory} {Analysis} of {Student} {Interaction} with an {LLM}-{Based} {Educational} {Chatbot}	2024	Proceedings of the {Eleventh} {ACM} {Conference} on {Learning} @ {Scale}		RQ4	Baja	1.0	Include	Métricas/metodologías
fung_automatic_2024	Automatic {Feedback} {Generation} on {K}-12 {Students}' {Data} {Science} {Education} by {Prompting} {Cloud}-based {Large} {Language} {Models}	2024	Proceedings of the {Eleventh} {ACM} {Conference} on {Learning} @ {Scale}			Excluir	0.0	Exclude	No trata RAG ni RQs
emerson_codedocs_2025	{CodeDocs}: {GenAI} to generate documentation from {Git} {Repositories}	2025	Practice and {Experience} in {Advanced} {Research} {Computing} 2025: {The} {Power} of {Collaboration}			Excluir	0.0	Exclude	No trata RAG ni RQs
carmel_liverag_2025	The {LiveRAG} {Challenge} at {SIGIR} 2025	2025	Proceedings of the 48th {International} {ACM} {SIGIR} {Conference} on {Research} and {Development} in {Information} {Retrieval}		RQ2,RQ4	Media	2.0	Include	Factualidad/alucinaciones y Métricas/metodologías
sun_d-bot_2025	D-{Bot}: {An} {LLM}-{Powered} {DBA} {Copilot}	2025	Companion of the 2025 {International} {Conference} on {Management} of {Data}		RQ3	Baja	0.5	Include	XAI/calibración
wang_andromeda_2025	Andromeda: {Debugging} {Database} {Performance} {Issues} with {Retrieval}-{Augmented} {Large} {Language} {Models}	2025	Companion of the 2025 {International} {Conference} on {Management} of {Data}		RQ3	Baja	1.0	Include	XAI/calibración
zhang_sortinghat_2025	{SortingHat}: {Redefining} {Operating} {Systems} {Education} with a {Tailored} {Digital} {Teaching} {Assistant}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ4	Baja	1.0	Include	Métricas/metodologías
kopkow_high_2025	High {Expectations}, {High} {Hurdles}: {A} {Survey} with {Professionals} in {Austrian} {SMEs} on their {GenAI} {Usage}, {Concerns}, and {Literacy}	2025	Proceedings of the {Mensch} {Und} {Computer} 2025		RQ1,RQ4	Baja	1.0	Include	Confianza/percepción y Métricas/metodologías
khurana_table_2025	Table {Retrieval} using {LLMs} and {Semantic} {Table} {Similarity}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ4	Baja	0.5	Include	Métricas/metodologías
schmidt_detecting_2024	Detecting {Generated} {Native} {Ads} in {Conversational} {Search}	2024	Companion {Proceedings} of the {ACM} {Web} {Conference} 2024		RQ4	Baja	1.0	Include	Métricas/metodologías
ardimento_enhancing_2024	Enhancing {Software} {Modeling} {Learning} with {AI}-{Powered} {Scaffolding}	2024	Proceedings of the {ACM}/{IEEE} 27th {International} {Conference} on {Model} {Driven} {Engineering} {Languages} and {Systems}		RQ3,RQ4	Media	2.0	Include	XAI/calibración y Métricas/metodologías
li_enhancing_2024	Enhancing {LLM}-{Based} {Coding} {Tools} through {Native} {Integration} of {IDE}-{Derived} {Static} {Context}	2024	Proceedings of the 1st {International} {Workshop} on {Large} {Language} {Models} for {Code}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
saha_roy_evidence_2025	Evidence {Contextualization} and {Counterfactual} {Attribution} for {Conversational} {QA} over {Heterogeneous} {Data} with {RAG} {Systems}	2025	Proceedings of the {Eighteenth} {ACM} {International} {Conference} on {Web} {Search} and {Data} {Mining}		RQ2,RQ3,RQ4	Alta	3.0	Include	Factualidad/alucinaciones y XAI/calibración y Métricas/metodologías
wu_clear_2025	{CLEAR}: {Climate} {Policy} {Retrieval} and {Summarization} {Using} {LLMs}	2025	Companion {Proceedings} of the {ACM} on {Web} {Conference} 2025		RQ4	Baja	1.0	Include	Métricas/metodologías
